Var,0182,0049,0030,0081,0075,0128,0072,0038,0065,1004,0093,0019,0004,0129,0036,0224,0042,0061,0073,0082,0086,0097,0198,0130,0046,0112,0095,0131,0231,0057,0228,0122,0094,0024,0227,0223,0185,0142,0138,0186,0216,0078,0003,0222,0031,0125,0217,0229,0233,0063,0079,0058,0211,0113,0225,0226,0059,0188,0232,0009,0099,0133,0220,0200,0184,0021,0205,0136,0132,0219,0011,0115,0121,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BANESTO BANCO DE EMISIONES ,BARCLAYS BANK ,BANCO DE CRÉDITO LOCAL DE ESPAÑA,BANCO DE VALENCIA,DEUTSCHE BANK S.A.E.,BANCO DE ANDALUCÍA,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT SERVICES,SANTANDER CONSUMER FINANCE,BANCO GUIPUZCOANO,BANCA MARCH,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,BANCO BANIF,BANCO DE GALICIA,BANCO COOPERATIVO ESPAÑOL ,BANCO SIMEON,BANCO GALLEGO,BANCO URQUIJO ,BANCO DE VASCONIA ,BANCO ESPIRITO SANTO ,DEXIA SABADELL BANCO LOCAL,BANCO DEPOSITARIO BBVA ,BANCO IXIS URQUIJO,CITIBANK ESPAÑA ,BANCOVAL ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,GENERAL ELECTRIC CAPITAL BANK,SABADELL BANCA PRIVADA ,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANKOA ,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO POPULAR HIPOTECARIO ,BANCA PUEYO,BANCO DE DEPÓSITOS,"JPMORGAN BANK, S.A.",BANCO ETCHEVERRÍA ,BANCOFAR ,BANCO HALIFAX HISPANIA,BANCOPOPULAR-E,POPULAR BANCA PRIVADA,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO INVERSIÓN (*),BNP PARIBAS ESPAÑA ,EBN BANCO DE NEGOCIOS,BANCO INDUSTRIAL DE BILBAO ,BANCO CETELEM,UBS ESPAÑA,BANCO DE MADRID ,BANCO ALCALÁ ,BANCO INVERSIS NET,"FINANZIA, BANCO DE CRÉDITO ",ALTAE BANCO,BANCO DE EUROPA ,BANCO FINANTIA SOFINLOC ,PRIVAT BANK ,BANCO EUROPEO DE FINANZAS,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANCO ÁRABE ESPAÑOL ,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,ALLFUNDS BANK,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"23,45,024","28,62,030","7,82,604","5,04,380","6,34,362","1,63,935","2,35,772",0,"4,36,618","73,326","1,19,928","1,09,735","1,34,170","76,398","61,252","47,048","98,963","93,094","62,668","64,203","14,213","39,303","1,81,482","34,256","42,256","22,162","40,212","9,790","1,880",1,"3,965","56,826","3,925","31,816","17,825",176,"9,295","11,511","13,500","5,488",449,"11,053","7,298","1,031","4,072","15,820","19,841","2,314","1,477",100,,"6,660","1,065",24,16,"8,493","1,495",227,"1,837",297,"1,255",1,705,519,80,251,260,222,24,433,0,0,24,1,0,"95,32,736"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,30,12,302","1,28,86,406","50,48,053","80,408","13,45,801","30,17,697","33,649","1,96,767","83,054","26,217",0,"2,66,136","24,309","2,23,959",214,0,"2,08,419",186,0,651,"27,146","4,557","11,24,444",0,799,"99,037",665,"1,369",0,0,46,"3,039","31,328","1,084",0,0,1,"2,67,130",0,244,0,0,0,0,96,0,"21,399",1,0,0,,39,"11,151",0,0,"1,850",688,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,80,50,631"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,399",0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,399"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4. Valores representativos de deuda ..........................................................................................................,"1,73,47,048","37,31,436","29,41,583","1,047","90,260","26,73,094","12,811",0,"66,333",0,0,"2,700",0,0,0,0,"1,65,192",0,0,0,0,0,"9,58,684",0,0,"89,122",0,0,0,0,0,0,"3,150",0,0,0,1,"2,66,515",0,0,0,0,0,0,0,0,0,0,0,0,,0,"9,976",0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,83,59,052"
2.5. Otros instrumentos de capital ..........................................................................................................,"44,21,391","37,04,877","6,99,888",0,"7,24,881","1,61,188",622,0,0,0,0,0,0,0,0,0,"21,766",0,0,0,0,0,"50,993",0,0,5,0,0,0,0,0,0,"27,054",0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,,0,"1,033",0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"98,13,982"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,12,43,863","54,50,093","14,06,582","79,361","5,30,660","1,83,415","20,216","1,96,767","16,721","26,217",0,"2,63,436","24,309","2,23,959",214,0,"21,461",186,0,651,"27,146","4,557","1,14,767",0,799,"9,910",665,"1,369",0,0,46,"3,039","1,124","1,084",0,0,0,615,0,244,0,0,0,0,2,0,0,1,0,0,,39,142,0,0,"1,850",688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,98,56,198"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"74,09,250","28,81,597","26,11,046",0,"61,437","25,89,004",0,0,0,0,0,0,0,0,0,0,"1,53,231",0,0,0,0,0,"3,55,394",0,0,"70,546",0,0,0,0,0,"1,014",0,0,0,0,0,"2,31,828",0,0,0,0,0,0,0,0,0,0,0,0,,0,"7,141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,63,71,488"
3. OTROS ACTIVOS FINANC. A VALOR RAZONABLE CON CAMBIOS EN PÉR.Y GAN. ..........................................................................................................,0,0,0,0,0,"12,263",0,0,0,0,0,"2,20,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,"1,723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,34,186"
3.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.3. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
